"date","artist","title","rank","peak_pos","last_week","weeks"
"2018-07-07","2 Chainz, Drake & Quavo","Bigger > You",60,60,"-",3
"2018-07-07","Panic! At The Disco","Say Amen (Saturday Night)",61,10,"52",12
"2018-07-07","XXXTENTACION","Hope",70,46,"68",5
"2018-07-07","6ix9ine Featuring DJ SPINKING","TATI",72,53,"66",8
"2018-07-07","BTS","Fake Love",76,4,"73",13
"2018-07-07","Lil Skies Featuring Yung Pinch","I Know You",79,45,"100",4
"2018-07-07","XXXTENTACION","Numb",80,45,"79",5
"2018-07-07","Rae Sremmurd & Juicy J","Powerglide",86,74,"86",6
"2018-07-07","Lil Baby Featuring Gunna & Lil Uzi Vert","Life Goes On",89,53,"88",12
"2018-07-07","YoungBoy Never Broke Again","Overdose",91,57,"97",10
"2018-07-07","Dierks Bentley","Woman, Amen",93,77,"77",2
"2018-07-07","Kygo & Imagine Dragons","Born To Be Yours",94,74,"98",16
"2018-07-07","The Carters","Boss",99,NA,"",NA
"2018-07-07","Jhene Aiko Featuring Swae Lee Or Rae Sremmurd","Sativa",100,NA,"",NA
"2018-06-30","BLACKPINK","DDU-DU DDU-DU",55,56,"56",14
"2018-06-30","Dua Lipa","IDGAF",56,60,"63",7
"2018-06-30","The Weeknd & Kendrick Lamar","Pray For Me",61,10,"71",5
"2018-06-30","The Carters","Summer",84,86,"86",4
"2018-06-30","Diplo, French Montana & Lil Pump Featuring Zhavia Ward","Welcome To The Party",87,45,"-",3
"2018-06-30","Pitbull x El Chombo x Karol G Featuring Cutty Ranks","Dame Tu Cosita",89,53,"88",12
"2018-06-30","KIDS SEE GHOSTS","Reborn",91,57,"97",10
"2018-06-30","The Carters","Nice",95,94,"-",2
