date,year,title,artist,peak_pos,last_week,weeks,rank,change,spotifyLink,spotifyID,videoLink,genre,analysis_url,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode
2018-12-08,,Arms Around You,XXXTENTACION x Lil Pump Featuring Maluma & Swae Lee,28,49,5,57,,spotify:track:2LskIZrCeLxRvCiGP8gxlh,2LskIZrCeLxRvCiGP8gxlh,,"[u'emo rap', u'miami hip hop']",https://api.spotify.com/v1/audio-analysis/2LskIZrCeLxRvCiGP8gxlh,0.723,0.126,104.969,0.0412,0.0302,2.06e-06,4,0.703,9,198903,-5.45,0.288,0
2018-12-08,,MAMA,6ix9ine Featuring Nicki Minaj & Kanye West,44,58,20,58,,spotify:track:1oJ8EDr2pv94IvSd6ZmDgo,1oJ8EDr2pv94IvSd6ZmDgo,,[u'emo rap'],https://api.spotify.com/v1/audio-analysis/1oJ8EDr2pv94IvSd6ZmDgo,0.672,0.14,160.077,0.212,0.0893,9.77e-06,3,0.761,1,192405,-5.887,0.437,1
2018-12-08,,KIKA,6ix9ine Featuring Tory Lanez,25,85,8,59,,spotify:track:6Gy7rXB6Ku5vIWC7WGWsl3,6Gy7rXB6Ku5vIWC7WGWsl3,,[u'emo rap'],https://api.spotify.com/v1/audio-analysis/6Gy7rXB6Ku5vIWC7WGWsl3,0.715,0.182,94.513,0.245,0.128,0,4,0.745,1,136032,-3.368,0.342,0
2018-12-08,,You Say,Lauren Daigle,28,57,8,60,,spotify:track:3ngc7rGlfeFaskU90EWl4R,3ngc7rGlfeFaskU90EWl4R,,[u'christian music'],https://api.spotify.com/v1/audio-analysis/3ngc7rGlfeFaskU90EWl4R,0.637,0.0882,147.924,0.0333,0.669,0,4,0.494,5,274693,-6.381,0.1,1
2018-12-08,,STOOPID,6ix9ine Featuring Bobby Shmurda,26,64,6,61,,spotify:track:1jQvUmf16VE9WQCPuK2e8K,1jQvUmf16VE9WQCPuK2e8K,,[u'emo rap'],https://api.spotify.com/v1/audio-analysis/1jQvUmf16VE9WQCPuK2e8K,0.63,0.162,149.989,0.395,0.13,0,4,0.733,11,152000,-4.296,0.832,1
2018-12-08,,TIC TOC,6ix9ine Featuring Lil Baby,65,76,5,62,,spotify:track:4m5Cd9kAbIxg6t9sMrQWtk,4m5Cd9kAbIxg6t9sMrQWtk,,[u'emo rap'],https://api.spotify.com/v1/audio-analysis/4m5Cd9kAbIxg6t9sMrQWtk,0.691,0.344,142.027,0.0723,0.0115,0,4,0.82,6,135739,-6.646,0.683,0
2018-12-08,,Close Friends,Lil Baby,52,61,5,63,,spotify:track:5nzhL67GpF9szXWg5y509A,5nzhL67GpF9szXWg5y509A,,"[u'atl hip hop', u'rap', u'trap music']",https://api.spotify.com/v1/audio-analysis/5nzhL67GpF9szXWg5y509A,0.585,0.0789,158.953,0.366,0.044,0,4,0.665,10,203881,-5.077,0.658,0
2018-12-08,,Fine China,Future & Juice WRLD,56,56,18,64,,spotify:track:5274I4mUMnYczyeXkGDWZN,5274I4mUMnYczyeXkGDWZN,,"[u'atl hip hop', u'pop', u'pop rap', u'rap', u'southern hip hop', u'trap music']",https://api.spotify.com/v1/audio-analysis/5274I4mUMnYczyeXkGDWZN,0.542,0.126,166.111,0.323,0.0484,0,4,0.656,7,141587,-7.358,0.551,1
2018-12-08,,Be Alright,Dean Lewis,56,60,14,65,,spotify:track:3EPXxR3ImUwfayaurPi3cm,3EPXxR3ImUwfayaurPi3cm,,"[u'australian pop', u'pop']",https://api.spotify.com/v1/audio-analysis/3EPXxR3ImUwfayaurPi3cm,0.586,0.0813,126.684,0.0362,0.697,0,4,0.553,11,196373,-6.319,0.443,1
2018-12-08,,Topanga,Trippie Redd,42,63,4,66,,spotify:track:5aXgz1oKK8Q9z9xvTmSnrO,5aXgz1oKK8Q9z9xvTmSnrO,,"[u'rap', u'trap music']",https://api.spotify.com/v1/audio-analysis/5aXgz1oKK8Q9z9xvTmSnrO,0.615,0.109,105.955,0.0454,0.00587,1.75e-06,4,0.755,4,215364,-8.245,0.039,1
2018-12-08,,That's On Me,Yella Beezy,55,68,3,67,,spotify:track:5c0Vl3yklw5WX9YI36dPLd,5c0Vl3yklw5WX9YI36dPLd,,"[u'rap', u'southern hip hop', u'trap music']",https://api.spotify.com/v1/audio-analysis/5c0Vl3yklw5WX9YI36dPLd,0.648,0.0904,131.925,0.198,0.0288,0,4,0.803,4,219552,-9.185,0.538,0
